iter	Passed	Remaining
783	668524	7858578
784	669407	7858080
785	670286	7857535
786	671162	7856955
787	671957	7855420
788	672753	7853908
789	673548	7852380
790	674434	7851921
791	675314	7851385
792	676189	7850795
793	677072	7850291
794	677859	7848673
795	678750	7848261
796	679528	7846556
797	680416	7846103
798	681199	7844451
799	681988	7842866
800	682862	7842257
801	683750	7841815
802	684536	7840202
803	685320	7838562
804	686207	7838112
805	687001	7836590
806	687788	7834995
807	688671	7834492
808	689552	7833960
809	690434	7833449
810	691323	7833005
811	692209	7832535
812	693101	7832131
813	693970	7831468
814	694758	7829881
815	695647	7829441
816	696519	7828814
817	697407	7828354
818	698295	7827905
819	699177	7827377
820	699964	7825790
821	700845	7825253
822	701726	7824721
823	702517	7823182
824	703405	7822720
825	704289	7822219
826	705078	7820657
827	705961	7820148
828	706841	7819595
829	707719	7819017
830	708601	7818492
831	709485	7817986
832	710372	7817506
833	711170	7816057
834	712056	7815566
835	712936	7815014
836	713726	7813467
837	714510	7811862
838	715291	7810231
839	716082	7808710
840	716964	7808174
841	717850	7807688
842	718727	7807101
843	719613	7806612
844	720499	7806126
845	721287	7804567
846	722170	7804049
847	723052	7803514
848	723939	7803027
849	724731	7801516
850	725621	7801069
851	726510	7800606
852	727304	7799129
853	728184	7798567
854	729072	7798089
855	729867	7796625
856	730741	7795998
857	731627	7795498
858	732504	7794900
859	733398	7794496
860	734271	7793855
861	735157	7793347
862	736024	7792645
863	736815	7791139
864	737701	7790643
865	738497	7789189
866	739383	7788684
867	740257	7788053
868	741145	7787574
869	742018	7786929
870	742808	7785421
871	743595	7783870
872	744476	7783322
873	745252	7781663
874	746127	7781043
875	747011	7780517
876	747797	7778970
877	748681	7778442
878	749469	7776915
879	750357	7776434
880	751228	7775772
881	752015	7774239
882	752899	7773706
883	753777	7773114
884	754572	7771666
885	755362	7770177
886	756156	7768719
887	757024	7768030
888	757912	7767535
889	758794	7766990
890	759685	7766525
891	760465	7764930
892	761278	7763674
893	762063	7762133
894	762943	7761568
895	763840	7761163
896	764634	7759721
897	765430	7758291
898	766309	7757708
899	767195	7757195
900	768087	7756744
901	768965	7756149
902	769850	7755621
903	770628	7754027
904	771519	7753555
905	772404	7753032
906	773294	7752549
907	774186	7752098
908	774980	7750658
909	775870	7750175
910	776669	7748788
911	777542	7748141
912	778421	7747558
913	779300	7746959
914	780183	7746413
915	781074	7745943
916	781956	7745375
917	782839	7744820
918	783631	7743368
919	784428	7741965
920	785219	7740511
921	786105	7739980
922	786983	7739380
923	787864	7738803
924	788751	7738294
925	789641	7737806
926	790530	7737304
927	791417	7736791
928	792202	7735273
929	792978	7733676
930	793872	7733225
931	794747	7732588
932	795525	7731010
933	796408	7730452
934	797294	7729921
935	798091	7728523
936	798978	7728009
937	799765	7726520
938	800654	7726021
939	801449	7724610
940	802336	7724088
941	803133	7722699
942	804013	7722110
943	804807	7720700
944	805596	7719232
945	806475	7718639
946	807358	7718073
947	808249	7717590
948	809044	7716186
949	809919	7715545
950	810711	7714119
951	811593	7713547
952	812377	7712049
953	813169	7710617
954	814049	7710025
955	814833	7708533
956	815719	7707998
957	816516	7706620
958	817314	7705260
959	818202	7704744
960	819089	7704218
961	819886	7702845
962	820676	7701407
963	821550	7700756
964	822439	7700246
965	823335	7699806
966	824220	7699258
967	825106	7698719
968	825999	7698244
969	826880	7697659
970	827769	7697146
971	828654	7696600
972	829528	7695939
973	830316	7694496
974	831103	7693038
975	831901	7691678
976	832684	7690190
977	833560	7689553
978	834359	7688208
979	835245	7687671
980	836132	7687138
981	837019	7686597
982	837898	7685992
983	838678	7684480
984	839463	7683011
985	840357	7682535
986	841157	7681203
987	842025	7680503
988	842907	7679921
989	843790	7679350
990	844581	7677939
991	845466	7677376
992	846259	7675988
993	847040	7674496
994	847930	7673988
995	848817	7673446
996	849694	7672817
997	850571	7672193
998	851460	7671664
999	852341	7671072
1000	853212	7670389
1001	854099	7669847
1002	854885	7668399
1003	855777	7667899
1004	856658	7667305
1005	857452	7665936
1006	858343	7665422
1007	859131	7664002
1008	859929	7662660
1009	860719	7661258
1010	861517	7659924
1011	862405	7659391
1012	863288	7658808
1013	864172	7658240
1014	865062	7657716
1015	865847	7656273
1016	866630	7654808
1017	867413	7653351
1018	868295	7652758
1019	869091	7651412
1020	869981	7650897
1021	870862	7650300
1022	871743	7649699
1023	872631	7649163
1024	873513	7648571
1025	874399	7648015
1026	875290	7647497
1027	876076	7646072
1028	876951	7645416
1029	877746	7644065
1030	878632	7643509
1031	879509	7642865
1032	880383	7642201
1033	881286	7641795
1034	882164	7641165
1035	882958	7639809
1036	883841	7639216
1037	884724	7638633
1038	885606	7638034
1039	886498	7637524
1040	887379	7636916
1041	888316	7636795
1042	889199	7636201
